userName Labels,Major Labels,Department Labels,program labels,researchExp,industryExp,internExp,journalPubs,Term Label,confPubs,University Labels,admit,normalized_cgpa,normalized_topper_cgpa,greTotal
,,,,,,,,,,,,0.738,,
,,,,,,,0.0,,,52.0,0.0,0.81,,
,,,,,,,,,0.0,,0.0,0.778,0.807,
,,,,,,,0.0,,0.0,,,0.918,0.918,320.0
,,,,,,,,1.0,,,,,0.95,
,,,,,,0.0,,,,,,0.855,,
6805.0,,,,,,,,,,,,0.73,,328.0
,27.0,,,,,,,,,52.0,,,,322.0
,,,,,,,,,,,,0.74,0.74,
6824.0,,,,,,,0.0,,,52.0,0.0,,0.89,327.0
,,52.0,,,0.0,,,1.0,,,0.0,0.62,,
,,,,,,7.0,,,,,,,,324.0
6811.0,,,,,,0.0,0.0,,,,0.0,,,
,,20.0,,,0.0,,,,,,,,,
,27.0,,,,,0.0,,,,,0.0,,0.88,
,,20.0,,,,,,,0.0,,,,,
6953.0,,28.0,,,,0.0,,,0.0,52.0,0.0,,0.94,321.0
,,,,,0.0,,,,,52.0,0.0,0.859,,
6956.0,,,,0.0,,,,,,,,,,315.0
6978.0,,,,,,,,,,52.0,,,,
7015.0,,,,,,,,,,52.0,0.0,,,309.0
7039.0,,,,,,,,,,52.0,0.0,,0.624,302.0
,,,,,,0.0,,,,52.0,0.0,,0.8,
7092.0,,,,,0.0,,,,,,0.0,0.63,,
,,,,,,,,,,52.0,0.0,0.774,,333.0
,20.0,,,,,,,,0.0,52.0,,0.74,,
,52.0,,1.0,0.0,,0.0,,,,52.0,,,0.78,
7139.0,20.0,20.0,,,,,,,,,,,,
7159.0,,,,,,0.0,0.0,,,52.0,0.0,0.64,0.78,
7192.0,,,,,,,,,,52.0,0.0,0.8,,
,,,1.0,,,,,,,,,0.867,0.97,
7267.0,,,,,,0.0,,,,,,0.84,0.98,318.0
,,,,,,,,,0.0,52.0,,,,329.0
,,,,0.0,,,,,,,,,0.86,
,,52.0,,0.0,,,,,0.0,,0.0,,,
7319.0,,,,,,,0.0,,,52.0,,,,
7372.0,,,,0.0,,,,1.0,,,,,,
,,,,,,,0.0,,,,0.0,,,313.0
7423.0,,39.0,,,,,,,,52.0,,0.73,,
7329.0,,,,0.0,,,,,,52.0,,,0.84,
,,,,,,0.0,,,0.0,52.0,,0.7023,0.7023,
7462.0,,,,,,,,,,52.0,0.0,,,
,,,1.0,,,,,,,,0.0,,,
,,,,,29.0,,0.0,,,52.0,,0.8,0.84,
7524.0,,,,,36.0,,,,0.0,52.0,0.0,,,
7529.0,20.0,,1.0,,,,0.0,,,,,,0.8,331.0
